Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2023-03-15,327284.41,217722.03,156508.98,156508.98,6174.39,6093.78
2023-03-16,317671.59,224651.06,158687.07,158687.07,5942.69,5871.84
2023-03-17,278769.1,225643.4,137575.59,137575.59,5094.68,5107.01
2023-03-18,260834.41,219211.79,122771.11,122771.11,4922.81,4952.76
2023-03-19,244413.07,226426.7,108253.77,108253.77,4600,4649.44
2023-03-20,243036.79,302666.72,134497.18,134497.18,4076.5,4018.63
2023-03-21,198497.61,359193.62,129671.87,129671.87,3241.77,3233.7
2023-03-22,243077.94,353848.68,147918.85,147918.85,3775.53,3739.96
2023-03-23,271100.83,323958.63,156112.55,156112.55,4089.57,4062.5
2023-03-24,259211.71,289662.99,136445.92,136445.92,4309.91,4336.88
2023-03-25,272362.13,286110.23,145670.47,145670.47,4453.3,4325.81
2023-03-26,270228.33,331456.27,157405.12,157405.12,4010.06,4019.19
2023-03-27,295958.59,287185.7,159369.92,159369.92,4992.35,4975.2
2023-03-28,303939.42,278863.04,169990.72,169990.72,5149.66,5075.93
2023-03-29,313412.01,267897.94,174075.79,174075.79,5662.58,5635.46
2023-03-30,294357.15,251338.39,167908.26,167908.26,5441.03,5375.79
2023-03-31,264591.43,297388.89,154528.75,154528.75,4143.72,4111.13
